text,label,pred
"[HOME_TEAM] Corner,  FC Nurnberg. Conceded by Omer Toprak. [HOME_TEAM] Attempt blocked. Niklas Stark (FC Nurnberg) right footed shot from a difficult angle on the right is blocked. Assisted by Timm Klose with a headed pass. [HOME_TEAM] Corner,  FC Nurnberg. Conceded by Gonzalo Castro.",0,0
"[HOME_TEAM] Substitution      Substitution, West Bromwich Albion. Jonas Olsson replaces Chris Baird. [HOME_TEAM] Jonas Olsson (West Bromwich Albion) wins a free kick in the defensive half. [AWAY_TEAM] Foul by Bobby Zamora (Queens Park Rangers). [HOME_TEAM] Attempt missed. James Morrison (West Bromwich Albion) right footed shot from outside the box is too high. [AWAY_TEAM] Offside, Queens Park Rangers. Joey Barton tries a through ball, but Charlie Austin is caught offside. [HOME_TEAM] Attempt saved. Brown Ideye (West Bromwich Albion) right footed shot from outside the box is saved in the top centre of the goal.",0,0
"[AWAY_TEAM] Corner,  Lorient. Conceded by Mapou Yanga-Mbiwa. [AWAY_TEAM] Attempt blocked. Yann Jouffre (Lorient) right footed shot from outside the box is blocked. Assisted by Arnold Mvuemba. [AWAY_TEAM] Attempt missed. Bruno Ecuele Manga (Lorient) right footed shot from the right side of the box is close, but misses to the right. Assisted by Arnold Mvuemba. [AWAY_TEAM] Substitution, Lorient. Maxime Barthelme replaces Yann Jouffre. [AWAY_TEAM] Substitution, Lorient. Joel Campbell replaces Innocent Emeghara.",1,1
"[HOME_TEAM] Corner,  Stuttgart. Conceded by Atsuto Uchida. [HOME_TEAM] Hand ball by Ibrahima Traore (Stuttgart). [HOME_TEAM] Ibrahima Traore (Stuttgart) is shown the yellow card for hand ball. [HOME_TEAM] Foul by Gotoku Sakai (Stuttgart). [HOME_TEAM] Gotoku Sakai (Stuttgart) is shown the red card for a bad foul. [AWAY_TEAM] Lewis Holtby (Schalke) wins a free kick in the defensive half.",1,1
[AWAY_TEAM] Foul by Joaquín Larrivey (Cagliari). [HOME_TEAM] Giuseppe Bellusci (Catania) wins a free kick in the defensive half. [AWAY_TEAM] Francesco Pisano (Cagliari) wins a free kick in the defensive half. [HOME_TEAM] Foul by Alejandro Gómez (Catania).,2,2
"[HOME_TEAM] Ahmed Elmohamady (Hull City) wins a free kick on the right wing. [AWAY_TEAM] Foul by Edin Dzeko (Manchester City). [HOME_TEAM] Foul by Shane Long (Hull City). [AWAY_TEAM] Samir Nasri (Manchester City) wins a free kick in the defensive half. [AWAY_TEAM] Corner,  Manchester City. Conceded by Ahmed Elmohamady.",2,2
"[HOME_TEAM] Deyverson (1. FC Koln) wins a free kick in the defensive half. [HOME_TEAM] Foul by Anthony Ujah (1. FC Koln). [AWAY_TEAM] Attempt saved. Franco Di Santo (SV Werder Bremen) right footed shot from the centre of the box is saved in the bottom right corner. Assisted by Santiago Garcia with a cross. [AWAY_TEAM] Foul by Theodor Gebre Selassie (SV Werder Bremen). [AWAY_TEAM] Jannik Vestergaard (SV Werder Bremen) wins a free kick in the defensive half. [HOME_TEAM] Yuya Osako (1. FC Koln) wins a free kick in the defensive half. [AWAY_TEAM] Foul by Franco Di Santo (SV Werder Bremen). [AWAY_TEAM] Franco Di Santo (SV Werder Bremen) is shown the yellow card for a bad foul. [HOME_TEAM] Corner,  1. FC Koln. Conceded by Fin Bartels. [HOME_TEAM] Attempt saved. Jonas Hector (1. FC Koln) right footed shot from a difficult angle on the right is saved in the bottom left corner. [HOME_TEAM] Attempt missed. Kevin Vogt (1. FC Koln) right footed shot from outside the box is high and wide to the right following a corner. [HOME_TEAM] Substitution, 1. FC Koln. Daniel Halfar replaces Slawomir Peszko. [HOME_TEAM] Foul by Deyverson (1. FC Koln). [HOME_TEAM] Deyverson (1. FC Koln) is shown the yellow card for a bad foul. [AWAY_TEAM] Santiago Garcia (SV Werder Bremen) wins a free kick in the defensive half. [HOME_TEAM] Foul by Daniel Halfar (1. FC Koln). [AWAY_TEAM] Philipp Bargfrede (SV Werder Bremen) wins a free kick in the attacking half.",0,1
"[HOME_TEAM] Substitution, Borussia Dortmund. Neven Subotic replaces Kevin Grosskreutz because of an injury. [HOME_TEAM] Offside, Borussia Dortmund. Ilkay Gundogan tries a through ball, but Pierre-Emerick Aubameyang is caught offside. [HOME_TEAM] Foul by Pierre-Emerick Aubameyang (Borussia Dortmund). [AWAY_TEAM] Halil Altintop (FC Augsburg) wins a free kick in the defensive half. [AWAY_TEAM] Substitution, FC Augsburg. Caiuby replaces Tobias Werner. [HOME_TEAM] Pierre-Emerick Aubameyang (Borussia Dortmund) wins a free kick in the attacking half. [AWAY_TEAM] Foul by Christoph Janker (FC Augsburg). [AWAY_TEAM] Christoph Janker (FC Augsburg) is shown the red card.",0,2
"[HOME_TEAM] Ibrahima Traore (Borussia Monchengladbach) wins a free kick on the right wing. [HOME_TEAM] Attempt missed. Andreas Christensen (Borussia Monchengladbach) left footed shot from the centre of the box is close, but misses to the right. Assisted by Ibrahima Traore following a set piece situation. [AWAY_TEAM] Foul by Pierre-Emile Hojbjerg (FC Schalke 04). [HOME_TEAM] Attempt saved. Ibrahima Traore (Borussia Monchengladbach) left footed shot from outside the box is saved in the top left corner. Assisted by Raffael. [HOME_TEAM] Foul by Andreas Christensen (Borussia Monchengladbach). [AWAY_TEAM] Leroy Sane (FC Schalke 04) wins a free kick on the left wing. [HOME_TEAM] Granit Xhaka (Borussia Monchengladbach) wins a free kick in the defensive half. [AWAY_TEAM] Foul by Joel Matip (FC Schalke 04). [HOME_TEAM] Foul by Mahmoud Dahoud (Borussia Monchengladbach). [AWAY_TEAM] Johannes Geis (FC Schalke 04) wins a free kick on the right wing. [AWAY_TEAM] Own Goal by Andreas Christensen, Borussia Monchengladbach.  Borussia Monchengladbach 1, FC Schalke 04 1. [AWAY_TEAM] Corner,  FC Schalke 04. Conceded by Fabian Johnson. [AWAY_TEAM] Attempt missed. Leroy Sane (FC Schalke 04) left footed shot from outside the box misses to the right following a corner.",1,0
"[AWAY_TEAM] Foul by Aduriz (Athletic Club). [HOME_TEAM] Iñigo Martínez (Real Sociedad) wins a free kick in the defensive half. [HOME_TEAM] David Zurutuza (Real Sociedad) wins a free kick on the left wing. [AWAY_TEAM] Foul by Etxeita (Athletic Club). [HOME_TEAM] Corner,  Real Sociedad. Conceded by Aduriz. [HOME_TEAM] Foul by Rubén Pardo (Real Sociedad). [AWAY_TEAM] Markel Susaeta (Athletic Club) wins a free kick on the right wing. [HOME_TEAM] Rubén Pardo (Real Sociedad) is shown the yellow card for a bad foul. [AWAY_TEAM] Attempt saved. Raul García (Athletic Club) header from the centre of the box is saved in the centre of the goal. Assisted by Beñat with a cross. [AWAY_TEAM] Offside, Athletic Club. Gorka Iraizoz tries a through ball, but Raul García is caught offside.",1,2
